index,subject_id,group,block,trial_in_block,trial_coherence,trial_perturb,trial_type,reach_dur,reach_rt,trial_directions,trial_target,aim_target,reach_target,aim_real_angle,reach_real_angle,true_target_angle,coh_cat,perturb_cat,reach_sub_perturb,aim_sub_perturb
0,sub-102,0,1,0,0.0,0.0,-1,0.0250082178972661,0.4914912171661854,0,3,-0.2963647201906916,-11.703376176346923,29.703635279809305,18.29662382365307,30.0,zero,0.0,-11.703376176346923,-0.2963647201906916
1,sub-102,0,1,1,0.0,0.0,-1,0.0749992982018739,0.4833689570659771,0,2,5.465465513016831,-8.424878262444281,65.46546551301682,51.57512173755571,59.99999999999999,zero,0.0,-8.424878262444281,5.465465513016831
2,sub-102,0,1,2,0.0,0.0,-1,0.0250214994885027,0.4417564100585878,0,3,0.3242301632068844,-16.451972685535626,30.32423016320688,13.54802731446437,30.0,zero,0.0,-16.451972685535626,0.3242301632068844
3,sub-102,0,1,3,0.0,0.0,-1,,,0,1,,,,,90.0,zero,0.0,,
4,sub-102,0,1,4,0.0,0.0,-1,0.0333472085185349,0.5918497882084921,0,2,-0.7778022394194224,-3.0692272835890577,59.22219776058057,56.930772716410935,59.99999999999999,zero,0.0,-3.0692272835890577,-0.7778022394194224
5,sub-102,0,1,5,0.0,0.0,-1,0.0499826283194124,0.3334231849294156,0,2,7.458368846807737,4.940654128927541,67.45836884680773,64.94065412892753,59.99999999999999,zero,0.0,4.940654128927541,7.458368846807737
6,sub-102,0,1,6,0.0,0.0,-1,0.0500113043235614,0.5417763022705913,0,1,8.469042407369486,4.129175591597928,98.46904240736949,94.12917559159791,90.0,zero,0.0,4.129175591597928,8.469042407369486
7,sub-102,0,1,7,0.0,0.0,-1,0.024968373356387,0.6168519691564143,0,3,-13.34901559939453,-17.19749231933684,16.650984400605466,12.802507680663156,30.0,zero,0.0,-17.19749231933684,-13.34901559939453
8,sub-102,0,1,8,0.0,0.0,-1,0.0750255592865869,0.4751144853653386,0,1,3.110800047344682,-7.888570812082946,93.11080004734468,82.11142918791705,90.0,zero,0.0,-7.888570812082946,3.110800047344682
9,sub-102,0,1,9,0.0,0.0,-1,0.0500100969802588,0.4751558391144499,0,3,10.352254028121669,3.807025949282963,40.35225402812166,33.80702594928296,30.0,zero,0.0,3.807025949282963,10.352254028121669
10,sub-102,0,1,10,0.0,0.0,-1,0.0833745111012831,0.5418182597495615,0,2,2.818994974713398,-1.6397579729344829,62.81899497471339,58.36024202706551,59.99999999999999,zero,0.0,-1.6397579729344829,2.818994974713398
11,sub-102,0,1,11,0.0,0.0,-1,0.4918111813021824,0.4918268776964396,0,1,-3.110800047344668,8.215899467816143,86.88919995265533,98.21589946781614,90.0,zero,0.0,8.215899467816143,-3.110800047344668
0,sub-102,0,2,0,0.0,0.0,0,0.0416481655556708,0.4081722470000386,0,1,-18.417141766008825,-20.239799311291563,71.58285823399117,69.76020068870844,90.0,zero,0.0,-20.239799311291563,-18.417141766008825
1,sub-102,0,2,1,0.0,0.0,0,0.0583267505280673,0.4495101076317951,0,1,27.421699873596975,11.975940379029424,117.42169987359698,101.97594037902942,90.0,zero,0.0,11.975940379029424,27.421699873596975
2,sub-102,0,2,2,0.0,0.0,0,0.0166671144543215,0.5001604348653927,0,3,-16.59042681006325,-20.30585366092165,13.409573189936747,9.694146339078348,30.0,zero,0.0,-20.30585366092165,-16.59042681006325
3,sub-102,0,2,3,0.0,0.0,0,0.0416955564869567,0.5668020276352763,0,2,-14.849618675185477,-15.102845283255109,45.15038132481452,44.897154716744886,59.99999999999999,zero,0.0,-15.102845283255109,-14.849618675185477
4,sub-102,0,2,4,0.0,0.0,0,0.025025121634826,0.4834468350745737,0,3,1.2043833149731142,-9.367923319113238,31.20438331497311,20.63207668088676,30.0,zero,0.0,-9.367923319113238,1.2043833149731142
5,sub-102,0,2,5,0.0,0.0,0,0.0500221711117774,0.916926134377718,0,2,-16.203106704235758,-18.588201580513605,43.79689329576424,41.41179841948639,59.99999999999999,zero,0.0,-18.588201580513605,-16.203106704235758
6,sub-102,0,2,6,0.0,0.0,0,inf,0.4501156248152256,0,3,6.150410924190982,0.5751263583476174,36.15041092419098,30.57512635834761,30.0,zero,0.0,0.5751263583476174,6.150410924190982
7,sub-102,0,2,7,0.0,0.0,0,inf,0.7000562351895496,0,2,-28.443156982077674,-8.978918113337485,31.55684301792232,51.02108188666251,59.99999999999999,zero,0.0,-8.978918113337485,-28.443156982077674
8,sub-102,0,2,8,0.0,0.0,0,0.0333496233215555,0.4251535903895274,0,3,5.582908503297919,-10.392519095408256,35.582908503297915,19.60748090459174,30.0,zero,0.0,-10.392519095408256,5.582908503297919
9,sub-102,0,2,9,0.0,0.0,0,0.0166613791370764,0.4918072572909295,0,3,-12.39143477332296,-17.74685492215314,17.608565226677037,12.253145077846858,30.0,zero,0.0,-17.74685492215314,-12.39143477332296
10,sub-102,0,2,10,0.0,0.0,0,0.024998256820254,0.558540009544231,0,3,-5.654959743090377,-13.34612510210065,24.34504025690962,16.653874897899346,30.0,zero,0.0,-13.34612510210065,-5.654959743090377
11,sub-102,0,2,11,0.0,0.0,0,0.0250121420249342,0.458397263311781,0,3,6.150410924190982,-9.367923319113238,36.15041092419098,20.63207668088676,30.0,zero,0.0,-9.367923319113238,6.150410924190982
12,sub-102,0,2,12,0.0,0.0,0,inf,0.4334436807548627,0,2,-16.203106704235758,-21.16074827870944,43.79689329576424,38.83925172129055,59.99999999999999,zero,0.0,-21.16074827870944,-16.203106704235758
